X,Y,NAME,ST,POPULATION
-88.34592885,42.17711683,Lake in the Hills,IL,29046
-88.08724447,42.19580992,Lake Zurich,IL,19943
-87.5395545,41.5641302,Lansing,IL,28434
-87.98260876,41.67200523,Lemont,IL,16882
-87.96739262,42.28723555,Libertyville,IL,20371
-89.37277821,40.15070868,Lincoln,IL,13843
-87.73362925,42.00545936,Lincolnwood,IL,12734
-88.02800004,42.40905389,Lindenhurst,IL,14453
-88.08794269,41.79260799,Lisle,IL,22884
-88.02984834,41.58880293,Lockport,IL,25575
-88.01604308,41.87335111,Lombard,IL,44360
-89.05624762,42.31538898,Loves Park,IL,23559
-87.81928673,41.8121243,Lyons,IL,10886
-88.293195,42.33854379,McHenry,IL,27285
-89.0433145,42.3607012,Machesney Park,IL,23637
-90.67032739,40.45960952,Macomb,IL,19838
-88.9276692,37.71747425,Marion,IL,17430
-87.6908248,41.60006059,Markham,IL,12704
-87.74978537,41.50836111,Matteson,IL,19165
-88.37808652,39.48211305,Mattoon,IL,18358
-87.84418673,41.8797827,Maywood,IL,24264
-87.86429387,41.90289728,Melrose Park,IL,25983
-87.72424764,41.62543461,Midlothian,IL,14761
-88.27972749,41.44774766,Minooka,IL,11815
-87.87868085,41.53212362,Mokena,IL,19673
-90.48868304,41.49203917,Moline,IL,43607
-88.334687,41.72894396,Montgomery,IL,19521
-88.43160113,41.3746818,Morris,IL,13872
-89.46696879,40.61474313,Morton,IL,16885
-87.78900537,42.04232689,Morton Grove,IL,23723
-87.93746886,42.06436077,Mount Prospect,IL,55176
-88.91720381,38.31479535,Mount Vernon,IL,14784
-88.01141216,42.26956012,Mundelein,IL,32015
-88.15270125,41.77237003,Naperville,IL,145798
-87.97072871,41.50861152,New Lenox,IL,26361
-87.81151998,42.02850897,Niles,IL,30236
-88.9815975,40.516675,Normal,IL,55570
-87.8239305,41.96681103,Norridge,IL,14795
-88.34155444,41.80828079,North Aurora,IL,17777
-87.8353045,42.12949195,Northbrook,IL,34159
-87.85962785,42.31720196,North Chicago,IL,30593
-87.90547027,41.91431052,Northlake,IL,12611
-87.75271387,41.60561456,Oak Forest,IL,27736
-87.75277882,41.71388461,Oak Lawn,IL,56898
-87.78994334,41.88716587,Oak Park,IL,52662
-89.9108485,38.59317203,O'Fallon,IL,30358
-87.85068261,41.61253346,Orland Park,IL,57913
-88.33844829,41.68293651,Oswego,IL,33186
-88.8318001,41.35276301,Ottawa,IL,18526
-88.04297086,42.1180689,Palatine,IL,70543
-87.79560671,41.66323639,Palos Heights,IL,12455
-87.8223495,41.69852141,Palos Hills,IL,17566
-87.68678234,41.48175637,Park Forest,IL,21881
-87.84362044,42.01256057,Park Ridge,IL,37998
-89.62635263,40.56743322,Pekin,IL,33458
-89.59006096,40.69150012,Peoria,IL,116343
-89.1266011,41.32653539,Peru,IL,10122
-88.21142592,41.60806284,Plainfield,IL,42717
-88.5303645,41.67377674,Plano,IL,11164
-88.6256035,40.87835724,Pontiac,IL,11165
-87.9222295,42.09515263,Prospect Heights,IL,16172
-91.3797129,39.93344539,Quincy,IL,40567
-88.141075,40.30295937,Rantoul,IL,13186
-87.73517818,41.4821702,Richton Park,IL,13682
-87.63705756,41.64348919,Riverdale,IL,13290
-87.81941761,41.89499494,River Forest,IL,10660
-87.83794128,41.92427562,River Grove,IL,10350
-89.06155723,42.26293407,Rockford,IL,150027
-90.56905146,41.48735811,Rock Island,IL,38764
-88.01196925,42.06971693,Rolling Meadows,IL,24639
-88.1127874,41.63870289,Romeoville,IL,40638
-89.01041975,42.41481252,Roscoe,IL,10830
-88.0663405,41.98389333,Roselle,IL,23406
-88.10667277,42.34524667,Round Lake,IL,19227
-88.08106237,42.37901969,Round Lake Beach,IL,28120
-88.30248329,41.92077532,St. Charles,IL,33590
-87.55779915,41.49432574,Sauk Village,IL,10343
-88.06766134,42.02636933,Schaumburg,IL,75857
-87.86931157,41.95864015,Schiller Park,IL,11952
-89.91497282,38.55265722,Shiloh,IL,13159
-88.21339133,41.5191402,Shorewood,IL,16756
-87.74040581,42.03612398,Skokie,IL,65526
-88.31033486,41.99135117,South Elgin,IL,22833
-87.60222147,41.59766591,South Holland,IL,21992
-89.64836432,39.79967906,Springfield,IL,115754
-89.69568727,41.79951282,Sterling,IL,15100
-88.17814016,42.02084456,Streamwood,IL,40779
-88.83046255,41.12504949,Streator,IL,13130
-87.8107676,41.78536306,Summit,IL,11000
-89.98530639,38.55016377,Swansea,IL,14009
-88.6828465,41.98725375,Sycamore,IL,17975
-89.3077825,39.55149852,Taylorville,IL,10805
-87.78524992,41.59694056,Tinley Park,IL,56624
-89.8997395,38.73084249,Troy,IL,10306
-88.1929955,40.10189617,Urbana,IL,42554
-87.96043814,42.23393095,Vernon Hills,IL,26008
-87.97782811,41.88580809,Villa Park,IL,22378
-88.1817095,41.81873326,Warrenville,IL,13348
-89.40550297,40.70191111,Washington,IL,15351
-90.15393502,38.33998304,Waterloo,IL,10333
-88.14974875,42.26063616,Wauconda,IL,13889
-87.8442405,42.3725507,Waukegan,IL,89835
-87.89075893,41.84909319,Westchester,IL,16749
-88.20414507,41.88172995,West Chicago,IL,27795
-87.90055629,41.80224809,Western Springs,IL,13156
-87.97427575,41.79481305,Westmont,IL,25021
-88.09442525,41.85868789,Wheaton,IL,54379
-87.92394687,42.13076101,Wheeling,IL,38486
-87.72918238,42.07713659,Wilmette,IL,27447
-87.74207688,42.10646968,Winnetka,IL,12368
-87.98059696,41.96635961,Wood Dale,IL,14160
-88.02885706,41.74837516,Woodridge,IL,34190
-90.0701645,38.86745639,Wood River,IL,10392
-88.43555349,42.31032,Woodstock,IL,25224
-87.7916886,41.68780311,Worth,IL,10457
-88.44883082,41.63925819,Yorkville,IL,18123
-87.82521346,42.44333527,Zion,IL,24522
-85.68937219,40.08948197,Anderson,IN,55026
-85.05479539,41.36690616,Auburn,IN,13055
-86.39010916,39.76114306,Avon,IN,17428
-86.4821845,38.86472411,Bedford,IN,13067
-86.08696345,39.71532805,Beech Grove,IN,14782
-86.52669287,39.16353021,Bloomington,IN,83901
-86.3832299,39.83391326,Brownsburg,IN,25891
-86.12724237,39.97455402,Carmel,IN,90578
-87.42388781,41.36649921,Cedar Lake,IN,12572
-87.04985243,41.60051148,Chesterton,IN,13350
-85.76183943,38.28426067,Clarksville,IN,22653
-85.91595462,39.21003689,Columbus,IN,48868
-85.14101501,39.65824072,Connersville,IN,13119
-86.89668667,40.04326307,Crawfordsville,IN,15852
-87.347149,41.42138593,Crown Point,IN,30211
-87.51661565,41.4939939,Dyer,IN,16281
-87.45489,41.63721381,East Chicago,IN,28951
-85.9652405,41.68109728,Elkhart,IN,52646
-87.55789992,37.97577002,Evansville,IN,122721
-86.01282023,39.9558008,Fishers,IN,94441
-85.14362128,41.08850426,Fort Wayne,IN,263854
-86.5002535,40.27831915,Frankfort,IN,16174
-86.05420883,39.49344431,Franklin,IN,25281
-87.34744187,41.59039999,Gary,IN,75383
-85.83018945,41.57411354,Goshen,IN,33428
-86.10088825,41.73533757,Granger,IN,30440
