lat,lon,alt
26.34110438,-97.57362389,519.076538
26.34666207,-97.56737865,506.198334
26.35084466,-97.56033127,497.408875
26.35451159,-97.55334119,511.73587
26.35806393,-97.54606462,543.212524
26.36173086,-97.53878806,619.283936
26.36459565,-97.53317307,714.864075
26.36740314,-97.52687053,775.525024
26.37307542,-97.51409358,858.263977
26.37594021,-97.50813481,908.57959
26.3801228,-97.50234794,956.145996
26.38464917,-97.49713403,996.124329
26.38917554,-97.492092,1043.987183
26.39479052,-97.488024,1088.199219
26.40092117,-97.48487273,1136.485962
26.40716641,-97.48166416,1195.19812
26.4127241,-97.47885667,1230.730591
26.41925582,-97.47530433,1280.767822
26.42527188,-97.47203847,1304.433472
26.43082957,-97.46911639,1336.230835
26.43690292,-97.46590783,1392.741699
26.44297627,-97.46269926,1435.385742
26.44962258,-97.45920422,1488.695801
26.45581053,-97.45593836,1537.229858
26.46205577,-97.4526725,1586.327148
26.46801453,-97.44957853,1612.656372
26.47431706,-97.44648456,1611.922607
26.48079149,-97.4432187,1602.249756
26.48703673,-97.44012472,1600.093506
26.49293819,-97.43703075,1600.637207
26.49941262,-97.4336503,1602.707275
26.50531408,-97.43044174,1603.867554
26.51144473,-97.42717588,1599.440552
26.51746079,-97.42402461,1600.218872
26.52341955,-97.41921177,1604.688965
26.52531031,-97.41222168,1601.244385
26.5226747,-97.40465864,1598.735718
26.51637217,-97.40093441,1602.059692
26.50932479,-97.4024814,1602.993652
26.50262118,-97.40580455,1605.165405
26.49574569,-97.40884123,1603.470703
26.48978693,-97.41296653,1601.542236
26.48548974,-97.42001391,1601.606934
26.48417194,-97.42734777,1603.665405
26.48560433,-97.43548377,1604.604736
26.48950045,-97.44190089,1600.583984
26.4955738,-97.44631267,1598.655518
26.50193363,-97.44774506,1600.811157
26.50880912,-97.44631267,1599.365723
26.51442411,-97.44293222,1605.154663
26.52026828,-97.43949447,1602.098145
26.52616975,-97.43628591,1594.338257
26.53241499,-97.43302005,1596.142822
26.53820186,-97.42992608,1596.87793
26.54433251,-97.42666022,1595.677246
26.55069234,-97.42316517,1599.264648
26.55636462,-97.4200712,1602.604126
26.56272445,-97.41651886,1601.21814
26.56908428,-97.41302382,1596.768799
26.57498575,-97.40981526,1595.865234
26.58140288,-97.40626292,1598.499878
26.58753353,-97.40288247,1598.630615
26.59945105,-97.39629345,1599.069946
26.6055817,-97.3929703,1597.610474
26.61199882,-97.38953255,1599.164917
26.61761381,-97.38649588,1598.045654
26.62420282,-97.38288624,1598.130615
26.63033347,-97.37962038,1596.070679
26.63646412,-97.37635452,1598.030884
26.6421364,-97.37337514,1599.78894
26.64855353,-97.37240111,1598.214111
26.65605928,-97.3726303,1598.075317
26.66270559,-97.3726303,1598.530884
26.66992486,-97.3725157,1598.045654
26.67651387,-97.37240111,1599.682495
26.68316018,-97.37228652,1596.057861
26.69060863,-97.37211463,1596.65625
26.69754142,-97.37188545,1597.771484
26.70441692,-97.37165627,1598.501221
26.71163618,-97.37142709,1599.330078
26.71851168,-97.3711979,1595.739868
26.72515799,-97.37096872,1599.412231
26.73231996,-97.37073954,1597.455444
26.7386225,-97.37056765,1569.623535
26.74595636,-97.37033847,1508.389893
26.7522016,-97.37016658,1456.599976
26.75907709,-97.36993739,1428.421631
26.76589529,-97.36970821,1432.267944
26.77265619,-97.36947903,1437.304077
26.77964627,-97.36924985,1439.543213
26.78617799,-97.36902066,1440.977173
26.79328267,-97.36867689,1443.724365
26.79958521,-97.368505,1442.349731
26.80697636,-97.36833311,1440.420532
26.81127354,-97.36816123,1439.364624
26.8159718,-97.36976551,1440.17334
26.82095653,-97.38179762,1438.665283
26.82531101,-97.39044928,1454.644409
26.8268007,-97.39148061,1459.780396
26.83304594,-97.39892906,1489.123657
26.82995197,-97.4133103,1524.648071
26.82233163,-97.41720641,1550.301392
26.81436752,-97.41479999,1573.533081
26.80972656,-97.40735154,1590.733276
26.81081518,-97.39801233,1603.019897
26.81643016,-97.39182438,1608.435547
26.81918036,-97.38683965,1606.843872
26.81906577,-97.37423458,1606.947021
26.81958143,-97.3643797,1604.098755
26.82095653,-97.3549832,1601.780762
26.82250352,-97.34558669,1605.137085
26.82427969,-97.33584641,1605.199097
26.82594126,-97.32662179,1602.65271
26.82766014,-97.31739716,1600.368408
26.82920712,-97.30926116,1599.907471
26.83109788,-97.29917711,1603.40271
26.83281676,-97.28989519,1606.793335
26.83453563,-97.28067057,1602.853516
26.8362545,-97.27144595,1601.514648
26.83797338,-97.26233592,1601.04895
26.83952036,-97.25402803,1598.386719
26.84146842,-97.24377209,1596.191284
26.84318729,-97.23466206,1609.064819
26.84479158,-97.2260104,1607.112061
26.84622397,-97.21816087,1601.655396
26.84805743,-97.20842059,1598.745117
26.84943253,-97.20120132,1597.522827
26.85160977,-97.18939839,1606.676758
26.85309946,-97.18160617,1607.182861
26.85481834,-97.17232425,1599.769409
26.85579236,-97.16711034,1601.117065
26.85825608,-97.15421878,1599.301758
26.85991766,-97.14505146,1602.675659
26.86157924,-97.13628521,1602.165527
26.86261056,-97.13084211,1598.990479
26.8647878,-97.11915377,1599.485718
26.86599101,-97.11290853,1600.093506
26.86765259,-97.10402768,1602.549561
26.86942876,-97.09440199,1605.161377
26.87126223,-97.08454712,1602.789429
26.87613237,-97.05859213,1603.944458
26.87710639,-97.05269066,1599.723511
26.875674,-97.04484114,1603.393188
26.86524617,-97.03555923,1598.278198
26.8566518,-97.03624677,1605.765137
26.84731259,-97.03871049,1600.998413
26.83791608,-97.03974182,1604.392578
