lat,lon,alt
33.0464959,-97.2950699,3.155716883
33.04632328,-97.29507012,51.23764125
33.04647217,-97.29506848,92.44909967
33.04641543,-97.29506671,142.5911974
33.04634495,-97.29506489,186.0198887
33.04615978,-97.2950596,237.792092
33.04645941,-97.29506374,280.0373799
33.0467337,-97.29508574,334.0374314
33.04674455,-97.29507378,344
33.04740314,-97.29507643,344
33.04831865,-97.29508533,344
33.04904778,-97.29509031,344
33.04959035,-97.29508099,344
33.05002992,-97.29508565,344
33.05059209,-97.29507947,344
33.05149498,-97.29507733,344
33.05204879,-97.29506522,344
33.05267047,-97.29506822,344
33.05294475,-97.29463425,344
33.0526968,-97.29378394,344
33.0524999,-97.29311904,344
33.05231384,-97.29255273,344
33.05208859,-97.2917982,344
33.05177819,-97.29078446,344
33.05172864,-97.29026561,344
33.05112127,-97.28967689,344
33.05051296,-97.28906901,344
33.04975965,-97.28831322,344
33.04910203,-97.28806169,344
33.04836059,-97.28774595,344
33.04798162,-97.28757972,344
33.0470433,-97.28743408,346.0942603
33.04637479,-97.28744352,349.4811356
33.04593972,-97.28743453,352.3090828
33.04518753,-97.28719196,354
33.04448958,-97.28646847,354
33.04439912,-97.28459601,354
33.04439114,-97.28365646,354
33.04439602,-97.28259055,354
33.04439752,-97.2811199,354
33.04440066,-97.28022109,354
33.04454594,-97.27896497,354
33.04574772,-97.27742764,354
33.04671043,-97.27611579,354
33.04786398,-97.27457835,354
33.04893603,-97.27314518,354
33.05007991,-97.27159512,354
33.05117367,-97.27012878,354
33.05218169,-97.26882561,354
33.05336738,-97.26724362,354
33.0544869,-97.26575415,354
33.0554563,-97.26447258,354
33.05629657,-97.26340719,354.0710874
33.05757879,-97.26172836,354.6578964
33.05854067,-97.2604207,355.2181807
33.05971055,-97.25887905,355.8707264
33.06068754,-97.2575451,355.8775762
33.06145436,-97.25655955,355.7589907
33.0623033,-97.25543765,355.6154218
33.06310008,-97.25436947,355.4887788
33.06411987,-97.25300006,355.3244271
33.06513425,-97.25165934,355.173745
33.0660178,-97.25052548,355.0405769
33.06677056,-97.24949505,354.925047
33.06764475,-97.24830011,354.7845696
33.06831814,-97.24743586,354.661858
33.06925769,-97.24614878,354.5147821
33.06991638,-97.24526237,354.3859843
33.07100268,-97.24377783,354.2297901
33.07178535,-97.2427619,354.0838837
33.07278643,-97.24142332,353.9502192
33.07371683,-97.24016261,353.8241481
33.07464194,-97.23893819,353.671533
33.07551876,-97.23781599,353.5352473
33.07613361,-97.23699862,353.4165076
33.07727777,-97.23554119,353.2745185
33.0780375,-97.23454389,353.1475618
33.0789738,-97.23327734,352.9896562
33.08008328,-97.23184505,352.847114
33.08087959,-97.23081406,352.7184391
33.08195711,-97.22937016,352.5664044
33.08274626,-97.22832998,352.4287259
33.08354098,-97.22728183,352.3127409
33.084338,-97.22621688,352.1699454
33.08497835,-97.22537827,352.0563057
33.08576941,-97.22357797,352.033719
33.08619059,-97.22166835,352.1105449
33.08660561,-97.21977803,352.1787561
33.08709908,-97.21743777,352.2606455
33.08746189,-97.21585578,352.3330932
33.08787873,-97.21399878,352.3954542
33.08829829,-97.21214644,352.4721085
33.08868081,-97.21041598,352.5391241
33.08913994,-97.20817198,352.620453
33.08952491,-97.20634841,352.7009479
33.08994947,-97.20444147,352.7733881
33.09023913,-97.20313406,352.8361552
33.09069369,-97.20104125,352.9116689
33.09109084,-97.19919206,352.9775331
33.09147419,-97.19726338,353.0579076
33.09189268,-97.19534657,353.1284083
33.09237349,-97.19324155,353.2138403
33.09279286,-97.19136233,353.2891771
33.09323046,-97.18935915,353.3602067
33.09372736,-97.1870063,353.4530137
33.09426448,-97.18463164,353.5374028
33.09462376,-97.18299354,353.6148348
33.09496661,-97.18133591,353.6804794
33.09530488,-97.17956637,353.7615506
33.0956921,-97.17779564,353.8300429
33.09619199,-97.17554651,353.9129387
33.09654466,-97.17356314,353.9935707
33.09778494,-97.17269287,354.0242776
33.09914492,-97.17173334,354.0544381
33.10032353,-97.17085593,354.0808236
33.10151833,-97.16997341,354.1040677
33.10317946,-97.16872527,354.1324532
33.10434577,-97.16789787,354.159271
33.10550977,-97.16707267,354.182886
